"Whisky","MetaCritic","STDEV","Reviews","Cost","Class","SuperCluster","Cluster","Country","Type"
"Bruichladdich Port Charlotte PC12 Oileanach Furachail","8.81","0.46","10","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Port Charlotte 10yo Heavily Peated (First Edition)","8.79","0.21","6","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Port Charlotte PC10 (Second Edition)","8.78","0.23","4","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Hakushu Single Malt Heavily Peated","8.78","0.33","12","$$$$$+","SingleMalt-like","I","I","Japan","Malt"
"Nikka Pure Malt Black","8.78","0.21","14","$$$","SingleMalt-like","I","I","Japan","Malt"
"Springbank 12yo Green","8.78","0.28","8","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 10yo Tempest","8.77","0.23","21","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Infinity Third Edition","8.77","0.28","5","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glenlivet Nadurra Peated Cask Finish","8.77","0.25","4","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 12yo (reviews pre-2014)","8.77","0.29","20","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Kavalan Distillery Reserve Peaty Cask","8.76","0.36","4","$$$$$+","SingleMalt-like","I","I","Taiwan","Malt"
"Paul John Bold","8.76","0.21","6","$$$","SingleMalt-like","I","I","India","Malt"
"Spirit of Hven Tycho???s Star","8.76","0.28","5","$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Caol Ila 18yo","8.75","0.49","18","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Yoichi 12yo","8.75","0.19","9","$$$$$","SingleMalt-like","I","I","Japan","Malt"
"Bruichladdich Port Charlotte Scottish Barley Heavily Peated","8.74","0.25","17","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Caol Ila 12yo","8.74","0.18","22","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Paul John Peated Select Cask","8.74","0.27","9","$$$$","SingleMalt-like","I","I","India","Malt"
"Big Peat (Douglas Laing)","8.73","0.25","16","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Oban 18yo","8.73","0.19","15","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Westland Peat Week","8.73","0.24","4","$$$$","SingleMalt-like","I","I","USA","Malt"
"Bruichladdich Port Charlotte An Turas Mor","8.72","0.27","11","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 15yo Freya","8.72","0.39","13","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Balvenie 14yo Peat Week","8.71","0.15","9","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box Lady Luck","8.71","0.41","6","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 17yo Ice","8.71","0.29","9","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Kilchoman Coull Point","8.71","0.20","8","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Kilchoman Sauternes Cask Matured","8.71","0.23","3","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Mackmyra Svensk R??k","8.71","0.15","4","$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Nikka Pure Malt White","8.70","0.33","13","$$$","SingleMalt-like","I","I","Japan","Malt"
"Springbank 10yo","8.70","0.24","21","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Talisker Dark Storm","8.70","0.14","11","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Kilchoman Sanaig","8.69","0.25","16","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Miyagikyo 15yo","8.69","0.28","12","$$$$$","SingleMalt-like","I","I","Japan","Malt"
"Benromach 10yo","8.68","0.26","23","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore Vault Edition First Release","8.66","0.19","9","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Yoichi 10yo","8.66","0.28","18","$$$$","SingleMalt-like","I","I","Japan","Malt"
"Highland Park 12yo (all reviews)","8.65","0.23","26","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 15yo Mariner","8.63","0.46","7","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"BenRiach 10yo Curiositas","8.62","0.28","20","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Elements of Islay ""Peat""","8.61","0.74","6","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 12yo Viking Honour (post-2017)","8.60","0.16","4","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Longrow 7yo Gaja Barolo Finish","8.60","0.52","7","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Mars Kogamatake The Revival 2011","8.60","0.43","5","$$$$$","SingleMalt-like","I","I","Japan","Malt"
"Bowmore 18yo","8.59","0.39","19","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Yoichi NAS","8.59","0.30","11","$$$$","SingleMalt-like","I","I","Japan","Malt"
"Talisker Storm","8.59","0.26","19","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Westland Peated","8.59","0.44","9","$$$$","SingleMalt-like","I","I","USA","Malt"
"BenRiach Peated Quarter Casks","8.58","0.31","4","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box Eleuthera","8.58","0.41","13","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Islay Barley (all vintages)","8.57","0.20","13","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Miyagikyo 12yo","8.56","0.29","8","$$$$","SingleMalt-like","I","I","Japan","Malt"
"Paul John Edited","8.56","0.40","9","$$$","SingleMalt-like","I","I","India","Malt"
"GlenDronach Peated","8.54","0.29","11","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Spirit of Hven Seven Stars No. 2 Merak","8.54","0.34","4","$$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Glen Garioch 1997","8.53","0.16","6","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Ardmore Traditional Cask","8.52","0.21","21","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 10yo","8.52","0.26","15","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Miyagikyo 10yo","8.52","0.28","8","$$$$","SingleMalt-like","I","I","Japan","Malt"
"Spirit of Hven Seven Stars No. 3 Phecda","8.51","0.35","3","$$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Fettercairn Fior","8.49","0.26","6","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Oban 14yo","8.49","0.37","23","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore No.1","8.48","0.21","5","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Box Dalvve","8.48","0.27","8","$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Glenfiddich Vintage Cask","8.47","0.28","5","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 17yo White Sands","8.46","0.50","6","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Benromach Sassicaia","8.45","0.22","7","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Arran Malt Machrie Moor Cask Strength","8.44","0.73","5","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glen Moray Classic Peated","8.44","0.33","4","$$","SingleMalt-like","I","I","Scotland","Malt"
"Ledaig 10yo","8.42","0.36","23","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 12yo (reviews 2014-2017)","8.41","0.42","15","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 12yo","8.40","0.27","20","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 17yo","8.40","0.63","8","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Wemyss Malts Peat Chimney","8.4","0.41","14","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Oban Little Bay","8.36","0.39","12","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore Gold Reef","8.34","0.34","10","$$","SingleMalt-like","I","I","Scotland","Malt"
"Glen Scotia 12yo","8.30","0.54","9","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Penderyn Peated","8.30","0.56","9","$$$$","SingleMalt-like","I","I","Wales","Malt"
"Teerenpeli Suomi 100 Juhlaviski","8.30","0.84","3","$$$$","SingleMalt-like","I","I","Finland","Malt"
"Jura Superstition","8.29","0.45","23","$$$","SingleMalt-like","I","I","Scotland","Malt"
"BenRiach Birnie Moss","8.28","0.35","10","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Spirit of Hven Seven Stars No. 1 Dubhe","8.28","0.41","3","$$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Bowmore Small Batch","8.27","0.52","12","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park Einar","8.27","0.37","7","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Springbank CV","8.27","0.36","8","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Old Ballantruan Peated (Toumintoul)","8.26","0.42","9","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich 8yo Laddie Eight","8.23","0.63","4","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Connemara Peated Single Malt","8.22","0.26","17","$$$","SingleMalt-like","I","I","Ireland","Malt"
"St George's Chapter 9 (peated)","8.21","0.45","5","$$$","SingleMalt-like","I","I","England","Malt"
"Glenrothes Peated Cask Reserve","8.11","0.55","3","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Jura 10yo Origin","8.06","0.35","17","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Arran Malt Machrie Moor Peated (all editions)","7.92","0.55","13","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glenfiddich 12yo Caoran Reserve","7.84","0.52","8","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore Legend","7.69","0.55","10","$$","SingleMalt-like","I","I","Scotland","Malt"
"Longrow 10yo Tokaji Finish","7.47","1.09","6","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Brora 35yo","9.43","0.33","11","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Brora 30yo","9.32","0.23","18","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 21yo","9.22","0.24","10","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Uigeadail","9.18","0.38","24","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Lagavulin 16yo","9.18","0.27","28","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Cairdeas 2015","9.17","0.16","10","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg 21yo","9.14","0.28","11","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box No Name","9.13","0.14","9","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Lagavulin 12yo Cask Strength","9.12","0.17","23","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 8.3","9.11","0.25","7","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Amrut Peated Single Malt Cask Strength","9.08","0.28","12","$$$$","SingleMalt-like","J","J","India","Malt"
"Ardbeg Supernova 2014","9.08","0.31","15","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 6.2","9.08","0.20","10","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Corryvreckan","9.05","0.32","23","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg 17yo","9.04","0.26","7","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 7.3","9.04","0.53","10","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Lagavulin Distiller's Edition (All Vintages)","9.04","0.24","23","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Alligator","9.03","0.18","15","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Longrow 18yo","9.03","0.31","12","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Ardbog","9.02","0.44","20","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 7.1","9.02","0.27","12","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Peat Monster 2014 - 10th Anniversary","9.02","0.26","11","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman 2008 Vintage","9.01","0.21","5","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Supernova 2015","9.00","0.32","7","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 18yo","9.00","0.26","21","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"AnCnoc Cutter","8.98","0.46","9","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 10 (Second Edition)","8.98","0.22","11","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman Original Cask Strength","8.96","0.45","8","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Amrut Portpipe Peated Single Cask #2712 (2013)","8.95","0.09","3","$$$$","SingleMalt-like","J","J","India","Malt"
"Kilchoman 2007 Vintage","8.95","0.28","9","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 10yo Cask Strength (all batches)","8.95","0.33","21","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Cairdeas 2014 Amontillado","8.95","0.21","11","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Smogen Single Cask 4yo 7/2011","8.94","0.23","4","$$$$$","SingleMalt-like","J","J","Sweden","Malt"
"Box The Festival 2014","8.93","0.12","3","$$$$$","SingleMalt-like","J","J","Sweden","Malt"
"Compass Box Peat Monster 2008 Reserve Edition","8.93","0.19","3","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg 10yo","8.91","0.33","25","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Dark Cove","8.91","0.29","18","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ichiro's Malt Chichibu The Peated","8.91","0.34","10","$$$$$+","SingleMalt-like","J","J","Japan","Malt"
"Amrut 100 Peated","8.90","0.34","7","$$$$","SingleMalt-like","J","J","India","Malt"
"Bruichladdich Octomore 10","8.89","0.39","5","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 8.1","8.89","0.12","5","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Smogen Single Cask (all editions)","8.89","0.13","5","$$$$$","SingleMalt-like","J","J","Sweden","Malt"
"AnCnoc Rutter","8.88","0.30","8","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Brora 21yo","8.87","0.41","4","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Peat Monster 2015 Cask Strength","8.87","0.30","5","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Monster 2004","8.86","0.35","3","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Lagavulin 8yo","8.86","0.24","20","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 7.2","8.85","0.47","10","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig An Cuan Mor","8.85","0.16","14","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Cairdeas 2016 Madeira","8.85","0.40","13","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Auriverdes","8.84","0.37","19","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 10yo","8.84","0.26","23","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg An Oa","8.83","0.27","13","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Wemyss Malts Kiln Embers","8.83","0.16","4","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Big Peat Christmas Edition (2012-2016)","8.82","0.14","12","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Perpetuum","8.81","0.43","17","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 15yo (200th Anniversary)","8.81","0.31","17","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Longrow CV","8.81","0.31","17","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Kelpie","8.80","0.17","9","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"BenRiach 18yo Dunder","8.79","0.28","5","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bunnahabhain Ce??banach","8.79","0.29","13","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 6.1","8.78","0.29","15","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Port Charlotte Islay Barley Heavily Peated","8.78","0.26","4","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman Machir Bay (all vintages)","8.78","0.22","22","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Longrow Peated","8.78","0.20","16","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 6.3","8.77","0.62","10","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Amrut Portpipe Peated Single Cask #2712 (2016)","8.76","0.50","4","$$$$","SingleMalt-like","J","J","India","Malt"
"Laphroaig Cairdeas 2017","8.76","0.34","7","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Amrut Portpipe Peated Single Cask (all casks)","8.75","0.38","13","$$$$","SingleMalt-like","J","J","India","Malt"
"Compass Box Peat Monster (all editions)","8.75","0.25","21","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Connemara Turf Mor","8.74","0.45","11","$$$$","SingleMalt-like","J","J","Ireland","Malt"
"Kilchoman 100% Islay (all editions)","8.73","0.23","18","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman Spring 2011 Release","8.73","0.23","8","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Peat Monster 2012","8.71","0.30","10","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Peat Monster 2015","8.71","0.18","4","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Triple Wood","8.71","0.35","20","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Amrut Peated Single Malt","8.70","0.31","12","$$$$","SingleMalt-like","J","J","India","Malt"
"Compass Box Peat Monster 2005","8.70","0.10","4","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Caol Ila Distiller's Edition (all editions)","8.69","0.33","16","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Amrut Portpipe Peated Single Cask #2713 (2013)","8.68","0.12","3","$$$$","SingleMalt-like","J","J","India","Malt"
"Smogen Single Cask 4yo 20/2011","8.68","0.25","3","$$$$$","SingleMalt-like","J","J","Sweden","Malt"
"Ileach Peated Islay Cask Strength","8.66","0.42","13","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Jura Prophecy","8.66","0.30","18","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Lore","8.62","0.28","17","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 7.4","8.59","0.65","9","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"AnCnoc Flaughter","8.58","0.33","11","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bunnahabhain Toiteach","8.58","0.37","16","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"BenRiach 17yo Septendecim Peated","8.55","0.53","18","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman Winter 2010 Release","8.53","0.15","4","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Port Charlotte The Peat Project","8.50","0.39","7","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Peat Monster 2010","8.47","0.84","3","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Finlaggan Old Reserve","8.46","0.50","15","$$","SingleMalt-like","J","J","Scotland","Malt"
"Benromach Peat Smoke","8.43","0.25","15","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ileach Peated Islay","8.38","0.33","8","$$","SingleMalt-like","J","J","Scotland","Malt"
"Bunnahabhain Cruach Mhona","8.31","0.38","7","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Quarter Cask","8.31","0.28","24","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"McClelland's Islay Single Malt","7.94","0.64","8","$$","SingleMalt-like","J","J","Scotland","Malt"
"Tomintoul Peaty Tang","7.89","0.71","11","$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig QA Cask","7.27","0.50","11","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Santis Edition Dreifaltigkeit / Cask Strength Peated","7.14","1.65","11","$$$$","SingleMalt-like","J","J","Switzerland","Malt"
"Compass Box The General","9.18","0.28","10","$$$$$+","Scotch-like","","","Scotland","Blend"
"Black Bull 40yo","9.10","0.34","12","$$$$$+","Scotch-like","","","Scotland","Blend"
"Compass Box Hedonism Quindecimus","8.93","0.42","8","$$$$$","Scotch-like","","","Scotland","Blend"
"Chivas Regal Ultis","8.89","0.44","7","$$$$$","Scotch-like","","","Scotland","Blend"
"Compass Box The Circus","8.85","0.30","5","$$$$$","Scotch-like","","","Scotland","Blend"
"Powers 12yo John's Lane","8.85","0.38","16","$$$$","Scotch-like","","","Ireland","Blend"
"Ballantine's 17yo","8.78","0.32","14","$$$$","Scotch-like","","","Scotland","Blend"
"High West Campfire","8.77","0.29","15","$$$$","Scotch-like","","","USA","Blend"
"Yellow Spot","8.76","0.21","16","$$$$","Scotch-like","","","Ireland","Blend"
"Chivas Regal 25yo","8.75","0.23","8","$$$$$+","Scotch-like","","","Scotland","Blend"
"The Irishman Cask Strength","8.72","0.25","5","$$$$$","Scotch-like","","","Ireland","Blend"
"Grant's 18yo","8.70","0.31","6","$$$","Scotch-like","","","Scotland","Blend"
"Hankey Bannister 12yo Regency","8.65","0.24","7","$$","Scotch-like","","","Scotland","Blend"
"Hankey Bannister Heritage","8.64","0.33","5","$$","Scotch-like","","","Scotland","Blend"
"Black Bull 12yo","8.61","0.32","11","$$$","Scotch-like","","","Scotland","Blend"
"Powers 12yo Reserve","8.61","0.24","6","$$$","Scotch-like","","","Ireland","Blend"
"Jameson 18yo Limited Reserve","8.60","0.23","10","$$$$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker Blue Label","8.60","0.45","18","$$$$$","Scotch-like","","","Scotland","Blend"
"Compass Box Great King St Artist's Blend","8.57","0.36","22","$$","Scotch-like","","","Scotland","Blend"
"Hankey Bannister 21yo Partner's Reserve","8.55","0.43","5","$$$$","Scotch-like","","","Scotland","Blend"
"Jameson Round Irish Whiskey","8.55","0.35","3","$$$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker Green Label","8.54","0.35","21","$$$$","Scotch-like","","","Scotland","Blend"
"Chivas Royal Salute 21yo","8.53","0.62","8","$$$$$","Scotch-like","","","Scotland","Blend"
"Compass Box Great King St Glasgow Blend","8.53","0.24","15","$$$","Scotch-like","","","Scotland","Blend"
"Compass Box Hedonism","8.52","0.61","19","$$$$","Scotch-like","","","Scotland","Blend"
"Teeling Single Grain (Wine Cask Finish)","8.52","0.29","11","$$$","Scotch-like","","","Ireland","Grain"
"The Nikka 12yo Premium Blended","8.52","0.17","5","$$$$","Scotch-like","","","Japan","Blend"
"Ichiro's Malt & Grain","8.50","0.14","3","$$$$$","Scotch-like","","","Japan","Blend"
"Jameson Cooper's Croze Irish Whiskey","8.49","0.30","8","$$$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker Explorer???s Club The Gold Route","8.49","0.33","8","$$$$","Scotch-like","","","Scotland","Blend"
"Writers Tears Pot Still Irish Whiskey","8.49","0.31","20","$$","Scotch-like","","","Ireland","Blend"
"Cutty Sark Prohibition","8.48","0.47","14","$$","Scotch-like","","","Scotland","Blend"
"Nikka Coffey Grain","8.48","0.52","18","$$$$","Scotch-like","","","Japan","Grain"
"Compass Box Delilah's","8.47","0.30","8","$$$$","Scotch-like","","","Scotland","Blend"
"Famous Grouse Gold Reserve 12yo","8.47","0.30","10","$$","Scotch-like","","","Scotland","Blend"
"Grant's 12yo","8.46","0.42","5","$$","Scotch-like","","","Scotland","Blend"
"Jameson Blender's Dog Irish Whiskey","8.46","0.36","6","$$$$","Scotch-like","","","Ireland","Blend"
"Jameson Gold Reserve","8.46","0.37","10","$$$$","Scotch-like","","","Ireland","Blend"
"T?? Bheag","8.46","0.30","15","$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Double Black","8.43","0.38","15","$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Platinum Label","8.43","0.43","17","$$$$","Scotch-like","","","Scotland","Blend"
"Powers Signature Release","8.42","0.53","6","$$$","Scotch-like","","","Ireland","Blend"
"Three Ships 10yo","8.41","0.38","9","$$$$","Scotch-like","","","South Africa","Blend"
"Johnnie Walker 10yo Rye Cask Finish","8.39","0.44","6","$$$","Scotch-like","","","Scotland","Blend"
"Kirin 50% Blend (Fuji Gotemba)","8.39","0.45","3","$$$$","Scotch-like","","","Japan","Blend"
"Jameson Signature Reserve","8.38","0.32","5","$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker Explorer???s Club The Spice Road","8.38","0.53","9","$$","Scotch-like","","","Scotland","Blend"
"Jameson 12yo Special Reserve","8.37","0.24","11","$$$$","Scotch-like","","","Ireland","Blend"
"Jameson Select Reserve (Black Barrel)","8.37","0.38","18","$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker Explorer???s Club The Royal Route","8.35","0.30","8","$$$$$","Scotch-like","","","Scotland","Blend"
"The Irishman Founder???s Reserve","8.35","0.34","9","$$","Scotch-like","","","Ireland","Blend"
"Bushmills Red Bush","8.32","0.26","6","$$","Scotch-like","","","Ireland","Blend"
"Suntory Old Whisky","8.32","0.28","8","$$$","Scotch-like","","","Japan","Blend"
"Johnnie Walker Gold Label Reserve","8.31","0.34","18","$$$$","Scotch-like","","","Scotland","Blend"
"Suntory The Chita Single Grain","8.31","0.35","7","$$$","Scotch-like","","","Japan","Blend"
"Glendalough Double Barrel","8.28","0.34","8","$$","Scotch-like","","","Ireland","Grain"
"Jameson Bold Irish Whiskey","8.28","0.39","4","$$$$","Scotch-like","","","Ireland","Blend"
"Jameson Distiller's Safe Irish Whiskey","8.26","0.54","7","$$$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker 12yo Black Label","8.26","0.47","24","$$","Scotch-like","","","Scotland","Blend"
"Blandnoch Pure Scot","8.24","0.21","5","$$$","Scotch-like","","","Scotland","Blend"
"Chivas Regal 18yo","8.23","0.46","15","$$$$","Scotch-like","","","Scotland","Blend"
"Compass Box Asyla","8.22","0.43","14","$$$","Scotch-like","","","Scotland","Blend"
"Suntory Toki","8.22","0.44","10","$$$","Scotch-like","","","Japan","Blend"
"Jameson Crested Irish Whiskey","8.21","0.39","4","$$","Scotch-like","","","Ireland","Blend"
"Black Bottle (pre-2013)","8.18","0.50","15","$$","Scotch-like","","","Scotland","Blend"
"Jameson Caskmates Stout Edition","8.17","0.47","10","$$","Scotch-like","","","Ireland","Blend"
"Kilbeggan 8yo Single Grain (Greenore)","8.15","0.38","12","$$","Scotch-like","","","Ireland","Grain"
"Bain's Cape Mountain Whisky","8.14","0.51","9","$$","Scotch-like","","","South Africa","Grain"
"Famous Jubilee","8.14","0.16","3","$$","Scotch-like","","","Scotland","Blend"
"The Irishman Original Clan Irish Whiskey","8.14","0.24","4","$$","Scotch-like","","","Ireland","Blend"
"Teeling Poitin","8.13","0.23","5","$$","Scotch-like","","","Ireland","Blend"
